LOCALITY,District,Northing_m,Easting_m
SAI KO SHAN (HIGH WEST),,814812.993,832083.828
ABERDEEN RESERVOIR ROAD,,812346.803,834109.037
WONG CHUK HANG ROAD,,812228.731,834669.197
"LEI MOON HOUSE, AP LEI CHAU",,811742.52,833747.213
POKFULAM GARDENS,,813275.987,832132.837
CHAI WAN AU,,814779.959,842278.731
ST. STEPHEN'S COLLEGE,,808666.955,840261.898
HEADLAND ROAD,,809531.797,838948.088
STANLEY GAP ROAD,,809458.576,839539.298
AP LEI CHAU,,811409.896,833720.898
MOUNT COLLINSON,,812520.834,842250.674
SHEK O PEAK,,810782.545,843160.019
POK FU LAM RESERVOIR ROAD,,814216.283,833299.068
MAGAZINE GAP ROAD,,814911.475,834696.438
SEAWALL AT A KUNG NGAM,,816157.784,842131.443
TAI ON STREET,,816151.905,841129.102
SHEK O,,809854.43,843027.537
"TAI TAU CHAU, SHEK O",,810125.537,844714.882
POTTINGER PEAK,,812846.783,843979.626
POTTINGER PEAK,,813239.783,844136.953
BRAEMAR HILL MANSION,,816279.17,838679.07
BRAEMAR HILL MANSION,,816353.751,839040.494
TAI TAM RESERVIOR,,813417.104,838762.786
TAI TAM RESERVIOR,,812845.506,838577.439
NAM LONG SHAN,,811406.627,835523.936
NAM LONG SHAN ROAD,,810975.632,835233.111
OCEAN PARK,,810489.917,835479.268
BARKER ROAD,,814685.193,833684.008
MIDDLE ISLAND,,810593.895,837089.797
MA KONG CHAU,,809529.812,837893.875
CHUNG HOM KOK,,808182.202,838544.54
BRICK HILL,,811447.781,835923.703
REPULSE BAY ROAD,,810871.113,837798.883
PIER OF REPULSE BAY,,810647.925,838354.983
WONG CHUK HANG ROAD,,812364.901,836005.182
SHOUSON HILL,,812081.708,836962.283
CAPE D'AGUILAR ROAD,,808964.935,843202.741
SHEK O ROAD,,810815.81,842591.347
SHEK O ROAD,,809966.049,843476.594
BIG WAVE BAY ROAD,,811714.109,843276.246
ABERDEEN UPPER RESERVOIR,,813079.478,834871.65
ABERDEEN UPPER RESERVOIR,,813146.325,834666.318
ABERDEEN LOWER RESERVIOR,,812625.849,834666.658
TAI TAM RESERVIOR,,812151.272,839946.689
"BOA VISTA, TAI TAM",,812711.637,840964.785
245-251 HENNESSY ROAD,,815477.654,836195.799
482 HENNESSY ROAD,,815646.823,836856.573
TAI HANG ROAD,,814436.925,837542.976
STUBBS ROAD,,814524.44,836117.673
JARDINE'S LOOKOUT,,814162.733,838482.264
CONNAUGHT ROAD WEST,,816590.871,832757.311
"LUGARD ROAD, MID-LEVELS",,815507.012,833044.433
"LUGARD ROAD, MID-LEVELS",,815434.064,833235.15
62D ROBINSON ROAD,,815803.76,833498.244
DES VOEUX ROAD WEST,,816587.027,832567.923
"DOR FOOK MANSION, POK FU LAM",,814251.086,831704.54
NO. 140 PO FU LAM ROAD,,813998.084,831846.288
MOUNT KELLETT,,813727.705,833350.187
ABERDEEN LOWER RESERVOIR,,812461.571,834913.926
SHEK TONG TSUI,,816711.251,831617.143
FUNG MAT ROAD,,816790.796,832320.751
EASTERN STREET NORTH,,816775.26,832859.714
MAN CHIU STREET,,816492.588,834050.608
SAI NING COURT,,815828.829,830486.397
EXPO DRIVE EAST,,815970.265,836008.183
BRAEMAR HILL ROAD,,816474.496,838791.316
JAVA ROAD,,817037.084,839490.692
POLLOCK'S PATH,,814375.857,834446.596
MOUNT AUSTIN ROAD,,814949.168,833347.085
POLLOCK'S PATH,,814476.776,834518.351
SEVERN ROAD,,814476.381,834703.133
MIDDLE GAP ROAD,,813886.992,835687.404
STANLEY,,808150.99,840121.44
STANLEY,,808677.198,839924.641
WONG NAI CHUNG GAP ROAD,,813751.593,837425.523
STUBBS ROAD,,814139.34,837053.853
MAN KWONG STREET,,816503.007,833946.21
SHA WAN DRIVE,,814420.041,830750.957
CYBERPORT ROAD,,813807.563,831105.31
CYBERPORT PIER,,813322.825,831373.624
CYBERPORT ROAD,,813078.12,831818.522
MOUNT CAMERON,,813720.743,836095.962
LAI TAK TSUEN,,815456.999,838076.401
HONG KONG CENTRAL LIBRARY,,815638.694,837572.631
SCAA STADIUM,,815227.04,837292.521
POK FU LAM FIRE STATION,,812687.861,832348.127
"TIN LAI HOUSE, TIN WAN ESTATE",,812612.455,833650.912
"YUE SHI CHEUNG ROAD, ABERDEEN",,812153.11,833487.541
MARINE POLICE ABERDEEN BASE,,811565.775,834931.888
"WAN SHING STREET, WAN CHAI",,815917.359,836464.397
"HARBOUR BUILDING, CENTRAL",,816392.476,834041.778
"TIM WA AVENUE, CENTRAL",,815930.173,835026.306
PAK KOK TSUEN,,810563.514,829450.949
YUNG SHUE LONG VILLAGE,,809948.126,829582.36
LAMMA ISLAND,,809265.044,830448.294
TAI WAN TO,,808875.212,830970.088
LO SO SHING,,808137.095,830966.927
LO SO SHING,,807679.536,830857.132
"SOK KWU WAN, LAMMA ISLAND",,807198.243,831257.505
"SOK KWU WAN, LAMMA ISLAND",,806549.23,831901.083
"LING KOK SHAN, LAMMA ISLAND",,807264.796,832134.225
MO TAT,,807852.577,833522.555
YUNG SHUE WAN,,809210.509,829662.076
TAI O,,812716.778,803882.553
TONG FUK MIU WAN,,808535.135,810535.546
"TAI LONG WAN, LANTAU",,808712.452,817480.167
"TAI LONG WAN, LANTAU",,808730.59,818229.692
CHEUNG CHAU,,809173.792,821455.078
CHEUNG CHAU,,808170.693,820460.519
CHEUNG CHAU,,807368.47,821447.607
"SHAM SHEK TSUEN, LANTAU",,815332.381,806517.611
"TONG FUK, LANTAU",,810561.608,811431.097
LANTAU ISLAND,,811427.273,806651.095
"TUNG CHUNG ROAD, LANTAU",,810565.413,812508.438
"TUNG CHUNG ROAD, LANTAU",,811314.719,812614.744
"TUNG CHUNG ROAD, LANTAU",,811817.424,812393.481
"TUNG CHUNG ROAD, LANTAU",,812826.639,811833.513
"TUNG CHUNG, LANTAU",,815691.803,810761.811
SIU KAU YI CHAU,,816666.536,824142.377
"POK TO YAN, LANTAU",,815997.081,813809.726
"NGAU KWU LONG, LANTAU",,816507.574,814818.387
"TAI HO, LANTAU",,817321.705,816574.902
"SAM PAK, LANTAU",,819653.523,819153.368
"CHOK KO WAN, LANTAU",,820318.856,821034.179
"NGONG SHUEN AU, LANTAU",,821468.964,821758.175
"NGONG SHUEN AU, LANTAU",,821146.336,821168.387
"YAM O, LANTAU",,820833.946,820750.031
"YAM TSAI, LANTAU",,821238.127,820044.675
"TUNG YIP HANG, LANTAU",,820231.841,819049.601
"SHUM SHUI KOK, LANTAU",,819932.743,818216.954
"TAI HO WAN, LANTAU",,818012.677,816186.967
"PAK MONG, LANTAU",,817575.57,815379.615
"PAK MONG, LANTAU",,817273.554,814442.48
HEI LING CHAU,,811725.743,822388.056
HEI LING CHAU,,812915.521,821109.642
"SILVER MINE BAY, LANTAU",,812980.019,818394.594
"CHI MA WAN, LANTAU",,810264.79,816460.724
"PUI O, LANTAU",,811448.43,815660.627
"PUI O, LANTAU",,810741.431,816145.815
"CHI MA WAN ROAD, LANTAU",,811175.381,816781.278
"CHI MA WAN ROAD, LANTAU",,811222.769,817344.633
"NAM SHAN, LANTAU",,812323.971,816942.372
"PAK NGAN HEUNG, LANTAU",,814902.881,816847.277
"WO LIU TUN, LANTAU",,814560.907,812112.648
"SAN TAU, LANTAU",,816791.727,809355.554
"CHEUNG SHA, LANTAU",,811300.684,813845.011
"PUI O, LANTAU",,811856.075,814954.541
"SAM PAK, LANTAU",,819370.697,819071.648
"MAN CHEUNG PO, LANTAU",,810964.833,803686.751
"KEI TAU KOK, LANTAU",,817320.247,813650.17
"TAI PO, LANTAU",,816630.388,813150.711
"NEI LAK SHAN, LANTAU",,813414.679,808132.389
"NGONG PING ROAD, LANTAU",,812852.626,807731.64
"TAI FUNG AU, LANTAU ISLAND",,812270.233,807121.784
YAM O,,820796.554,821076.988
TAI YAM TENG,,821029.489,821797.871
CHOK KO WAN TSUI,,820106.1,822781.5
"SZE PAK TSUI, LANTAU ISLAND",,819447.015,821528.874
LAI PIK SHAN,,819591.488,820303.516
SAM PAK,,819022.31,819568.452
DISCOVERY BAY,,817627.207,818834.841
DISCOVERY BAY,,817527.644,820415.205
DISCOVERY BAY,,816765.258,819467.333
PENG CHAU,,816874.889,822264.153
PENG CHAU,,816099.555,822577.33
TAI HO,,816379.226,816209.506
MONG TO AU,,815924.596,816724.24
WONG KUNG TIN,,815443.92,816860.56
CHEK LAP KOK,,818104.048,811400.228
CHEK LAP KOK,,819338.353,811733.6
CHEK LAP KOK,,820026.337,811765.938
CHEK LAP KOK,,820129.191,812337.707
STUBBS ROAD,,814349.927,835618.012
STUBBS ROAD,,813944.593,837150.606
TUNG SHAN TERRACE,,814318.432,836636.185
SHAN KWONG ROAD,,814425.669,837016.626
SHAN KWONG ROAD,,814141.977,837217.547
CHUNG HOM KOK ROAD,,809389.443,838954.746
TAI TAM ROAD,,810116.411,840817.058
ABERDEEN MAIN ROAD,,812272.39,834089.817
POK FU LAM ROAD,,813031.944,832201.975
ABERDEEN MAIN ROAD,,812159.436,834081.85
ABERDEEN PRAYA ROAD,,812201.742,833320.753
ABERDEEN PRAYA ROAD,,812141.698,833692.461
ABERDEEN PRAYA ROAD,,812146.458,833802.002
LOWER ALBERT ROAD,,815626.128,834271.552
LOWER ALBERT ROAD,,815622.286,834157.638
CAINE ROAD,,815752.235,833813.553
SHEK O ROAD,,812782.649,841795.44
ROBINSON ROAD,,815418.147,833945.217
ROBINSON ROAD,,815259.238,834021.292
MAGAZINE GAP ROAD,,815139.503,834106.736
MAGAZINE GAP ROAD,,815103.568,834174.125
BREWIN PATH,,815050.702,834154.676
BREWIN PATH,,815000.302,834002.704
MAY ROAD,,814975.351,834003.303
MAY ROAD,,815000.893,833914.749
CONDUIT ROAD,,815712.058,833425.607
GARDEN ROAD,,815412.958,834319.789
MAY ROAD,,815006.769,834070.583
TUNG LO WAN ROAD,,815532.346,837461.658
MOUNT BUTLER ROAD,,814666.85,838425.953
PEAK ROAD,,814099.447,833792.846
PEAK ROAD,,813928.063,833991.01
PEAK ROAD,,814530.813,835184.973
PEAK ROAD,,814740.262,835369.915
PEAK ROAD,,814534.614,835525.947
MAGAZINE GAP ROAD,,814534.03,835058.989
BARKER ROAD,,814596.657,833911.348
SEVERN ROAD,,814574.745,834540.375
SEVERN ROAD,,814345.249,834548.52
LAI TAK TSUEN ROAD,,815574.325,837984.5
SANDY BAY ROAD,,814679.184,830775.249
POKFIELD ROAD,,815828.386,831533.584
POK FU LAM ROAD,,815319.355,831479.838
POKFIELD ROAD,,815741.85,831418.134
WOOD ROAD,,815249.789,836246.397
MOUNT DAVIS ROAD,,814958.264,830967.536
MOUNT DAVIS ROAD,,814871.024,830778.475
MOUNT DAVIS ROAD,,814895.806,830696.364
MOUNT DAVIS ROAD,,814970.768,830313.498
MOUNT DAVIS ROAD,,814863.538,830522.342
TAIKOO SHING ROAD,,816323.773,840191.864
TAIKOO SHING ROAD,,816499.384,840202.671
TAIKOO SHING ROAD,,816499.417,840716.659
TAIKOO SHING ROAD,,816362.096,840709.648
TAIKOO SHING ROAD,,816224.879,840792.361
VICTORIA PARK ROAD,,816234.801,837595.09
TIN HAU TEMPLE ROAD,,816573.803,838314.919
CLOUD VIEW ROAD,,816295.414,838127.858
CLOUD VIEW ROAD,,816188.997,838162.452
CLOUD VIEW ROAD,,816503.56,838514.532
CLOUD VIEW ROAD,,816448.944,838601.446
SOUTH BAY ROAD,,810905.062,838466.01
REPULSE BAY MANSIONS,,811026.052,838366.26
REPULSE BAY ROAD,,811077.56,838501.645
SOUTH BAY VILLA,,811021.741,838597.076
REPULSE BAY ROAD,,810910.506,838580.403
SHOUSON HILL ROAD,,812188.524,836339.653
SHOUSON HILL ROAD,,812178.028,836448.7
SHOUSON HILL ROAD,,812437.574,836550.521
SHOUSON HILL ROAD,,812225.718,836562.025
TAI TAM ROAD,,812106.901,840957.573
SHEK O ROAD,,810883.932,843627.259
BIG WAVE BAY ROAD,,811477.8,843367.143
REPULSE BAY ROAD,,812898.958,837913.882
REPULSE BAY ROAD,,812751.468,837933.801
REPULSE BAY ROAD,,812457.032,837730.341
REPULSE BAY ROAD,,811873.569,837764.21
REPULSE BAY ROAD,,811525.004,837596.224
REPULSE BAY ROAD,,811418.04,837549.089
REPULSE BAY ROAD,,810915.689,837624.465
ISLAND ROAD,,811161.157,837438.914
ISLAND ROAD,,811846.459,836816.855
ISLAND ROAD,,811840.556,836676.737
DEEP WATER BAY ROAD,,812994.871,837451.43
ISLAND ROAD,,811834.294,837040.519
ISLAND ROAD,,811767.581,837394.78
SCENIC VILLA ROAD,,814568.832,830963.851
VICTORIA ROAD,,813672.211,831835.71
CHEK CHUE BARRACKS,,807185.517,839963.905
CHEK CHUE BARRACKS,,806449.41,840178.744
CHEK CHUE BARRACKS,,806703.327,840754.496
CHEK CHUE BARRACKS,,806516.36,840952.987
THIRD STREET,,816338.099,832216.527
MOUNT PARKER ROAD,,814110.756,840077.898
MOUNT PARKER ROAD,,813389.67,839800.035
TAI TAM UPPER RESERVOIR VALVE HOUSE,,813232.695,839831.151
TAI TAM RESERVOIR ROAD,,813528.262,839267.859
MACDONNELL ROAD,,815213.52,834111.47
MACDONNELL ROAD,,815173.65,834255.194
MACDONNELL ROAD,,815157.846,834392.335
MACDONNELL ROAD,,815183.844,834604.158
KENNEDY ROAD,,815224.892,835209.841
TAI HANG DRIVE,,815063.304,837983.328
TAI HANG AREA,,814764.378,838072.351
TAI HANG AREA,,814819.215,838268.388
TAI HANG AREA,,814705.211,838212.821
MOORSOM ROAD,,814593.353,838175.738
MOORSOM ROAD,,814538.357,838109.283
MOUNT BUTLER ROAD,,814452.545,838173.958
MOORSOM ROAD,,814497.539,838052.321
CAUSEWAY ROAD,,815669.609,837482.418
MTR CHAI WAN STATION,,814118.725,842530.505
ISLAND EASTERN CORRIDOR,,814388.852,842549.423
SHAU KEI WAN ROAD,,815364.431,841537.628
A KUNG NGAM ROAD,,815383.806,841888.138
A KUNG NGAM ROAD,,815452.948,841887.466
A KUNG NGAM ROAD,,815615.983,841881.383
A KUNG NGAM ROAD,,815744.522,841876.701
SHAU KEI WAN ROAD,,815895.837,840909.269
SHAU KEI WAN ROAD,,816123.734,840760.617
KING'S ROAD,,816230.988,840655.161
KING'S ROAD,,816208.911,840555.268
KORNHILL ROAD,,816210.573,840445.898
KING'S ROAD,,816583.458,839666.82
ABERDEEN RESERVOIR ROAD,,812501.145,834163.754
ABERDEEN RESERVOIR ROAD,,812608.825,834280.702
ABERDEEN MAIN ROAD,,812328.714,833958.937
ABERDEEN MAIN ROAD,,812333.305,833859.777
"CONVENTION AVENUE, WAI CHAI",,815882.475,836159.212
"TIN LOK LANE, WAN CHAI",,815454.461,836563.45
HONG YUE STREET,,815810.953,840199.752
HONG SHING STREET,,815663.596,840040.741
HONG SHING STREET,,815742.607,840223.005
HONG SHING STREET,,815782.227,840297.902
HONG YUE STREET,,815960.198,840312.114
HONG YUE STREET,,815979.054,840392.537
TAIKOO SHING ROAD,,816364.252,840790.423
NAM ON STREET,,815497.197,841485.196
"GLOUCESTER ROAD, WAN CHAI",,815605.54,835778.117
"GLOUCESTER ROAD, WAN CHAI",,815580.34,835870.553
JUSTICE DRIVE,,815417.511,835240.493
JUSTICE DRIVE,,815475.452,835207.383
"QUEENSWAY, WAN CHAI",,815459.349,835341.803
HENNESSY ROAD,,815441.121,835494.845
"PAK PAT SHAN ROAD, STANLEY",,810208.865,841364.546
"PAK PAT SHAN ROAD, STANLEY",,810360.555,841318.089
"PAK PAT SHAN ROAD, STANLEY",,810509.193,841227.278
TAI TAM ROAD,,810652.053,841008.255
TAI TAM ROAD,,810050.668,840702.632
REPULSE BAY ROAD,,810100.857,838687.89
REPULSE BAY ROAD,,810043.349,838770.036
REPULSE BAY ROAD,,809942.821,838883.917
REPULSE BAY ROAD,,809850.241,838920.084
STANLEY GAP ROAD,,809643.414,838994.407
STANLEY GAP ROAD,,809596.772,839197.007
STANLEY GAP ROAD,,809518.69,839237.726
STANLEY GAP ROAD,,809466.15,839328.673
STANLEY GAP ROAD,,809439.091,839432.426
STANLEY GAP ROAD,,809539.354,839733.694
STANLEY GAP ROAD,,809476.108,839796.269
STANLEY GAP ROAD,,809471.981,839842.697
STANLEY GAP ROAD,,809565.253,839956.653
SOUTH BAY ROAD,,809997.459,838499.027
SOUTH BAY ROAD,,810014.343,838571.364
HEADLAND ROAD,,809721.849,838689.616
HEADLAND ROAD,,809698.201,838785.691
HEADLAND ROAD,,809679.615,838836.399
CHUNG HOM KOK,,809582.8,838892.394
STANLEY VILLAGE ROAD,,809460.658,839994.368
STANLEY VILLAGE ROAD,,809307.145,839922.491
STANLEY VILLAGE ROAD,,809194.173,839805.967
STANLEY VILLAGE ROAD,,809155.406,839939.906
"PUBLIC PIER, STANLEY",,808144.977,840137.816
TUNG TAU WAN ROAD,,808770.795,840246.385
TUNG TAU WAN ROAD,,808680.57,840371.634
BROADWOOD ROAD,,814417.923,837552.852
BROADWOOD ROAD,,814452.439,837466.281
BROADWOOD ROAD,,814479.086,837424.048
BROADWOOD ROAD,,814539.372,837392.224
BROADWOOD ROAD,,814563.856,837319.628
BROADWOOD ROAD,,814700.622,837246.202
BROADWOOD ROAD,,814744.066,837246.441
BROADWOOD ROAD,,814839.159,837194.072
BROADWOOD ROAD,,814901.229,837183.086
BROADWOOD ROAD,,815004.583,837080.609
DEEP WATER BAY ROAD,,812665.925,837097.429
DEEP WATER BAY DRIVE,,812511.121,837067.374
DEEP WATER BAY DRIVE,,812624.912,836971.533
DEEP WATER BAY DRIVE,,812623.066,836790.053
NAM FUNG ROAD,,812841.16,837050.052
NAM FUNG ROAD,,812853.628,836527.221
NAM FUNG ROAD,,812816.975,836400.657
NAM FUNG ROAD,,812614.857,836125.834
ELECTRIC ROAD,,816701.322,837987.016
HING FAT STREET,,816015.294,837738.8
"KING'S ROAD, NORTH POINT",,816842.38,838314.118
HING FAT STREET,,816423.896,837551.765
WING HING STREET,,816263.45,837712.95
HING FAT STREET,,816155.915,837728.022
"KING'S ROAD, NORTH POINT",,816025.36,837854.535
TIN HAU TEMPLE ROAD,,816117.483,837911.353
WING HING STREET,,816265.439,837910.377
COMFORT TERRACE,,816447.428,837940.294
"KING'S ROAD, NORTH POINT",,816540.396,837926.474
"KING'S ROAD, NORTH POINT",,816650.742,838028.78
"KING'S ROAD, NORTH POINT",,816889.798,838531.542
"KING'S ROAD, NORTH POINT",,816947.23,838763.187
"JAVA ROAD, NORTH POINT",,817081.209,838897.82
POK FU LAM ROAD,,816064.259,831749.681
"BONHAM ROAD, MID-LEVELS",,816134.866,832496.078
UPPER ALBERT ROAD,,815597.9,834036.151
"CAINE ROAD, MID-LEVELS",,815671.518,833921.755
"CAINE ROAD, MID-LEVELS",,815859.726,833662.361
"GLENEALY, MID-LEVELS",,815552.936,833954.214
BONHAM ROAD,,816101.346,832347.348
BONHAM ROAD,,816151.393,832412.383
BONHAM ROAD,,816146.122,832541.415
THIRD STREET,,816314.03,832537.15
NAM CHEONG BUILDING,,816248.917,831987.056
H.K. TRAM DEPOT,,816539.592,832030.149
WESTERN FIRE STATION,,816682.279,833295.878
QUEEN'S ROAD CENTRAL,,816218.556,833558.361
ENTERPRISES BUILDING,,816181.422,833667.077
THIRD STREET,,816310.326,832545.982
WING TAI ROAD,,814480.553,842731.99
"SHING TAI ROAD, CHAI WAN",,815066.457,842930.889
"HENG FA CHUEN, CHAI WAN",,815221.704,842889.216
"HENG FA CHUEN, CHAI WAN",,815630.713,842549.477
ISLAND EASTERN CORRIDOR,,815519.319,842420.606
ISLAND EASTERN CORRIDOR,,815641.236,842394.877
ISLAND EASTERN CORRIDOR,,815802.627,842289.34
A KUNG NGAM,,816007.159,842028.247
TIN HAU TEMPLE ROAD,,816532.142,838569.191
TIN HAU TEMPLE ROAD,,816585.248,838467.922
TIN HAU TEMPLE ROAD,,816575.531,838339.34
TIN HAU TEMPLE ROAD,,816524.752,838238.917
TIN HAU TEMPLE ROAD,,816334.554,838112.938
TIN HAU TEMPLE ROAD,,816268.049,837972.549
VICTORIA PARK ROAD,,816175.695,837399.467
CAUSEWAY BAY,,815713.884,836506.978
"GLOUCESTER ROAD, CAUSEWAY BAY",,815647.467,836236.09
GLOUCESTER ROAD,,815776.358,837291.954
CAUSEWAY ROAD,,815627.653,837342.94
HENNESSY ROAD,,815703.151,836952.362
"HENNESSY ROAD, WAN CHAI",,815441.851,835393.376
"QUEENSWAY, ADMIRALTY",,815480.875,835034.792
"QUEENSWAY, ADMIRALTY",,815546.584,834862.215
"BATTERY PATH, CENTRAL",,815668.421,834408.553
QUEEN'S ROAD CENTRAL,,816017.537,834060.424
QUEEN'S ROAD CENTRAL,,816087.186,834013.001
"ALBANY ROAD, MID-LEVELS",,815560.65,834130.601
"GARDEN ROAD, MID-LEVELS",,815398.426,834280.395
"LYNDHURST TERRACE, CENTRAL",,815956.811,833894.683
"HENNESSY ROAD, WAN CHAI",,815629.23,836720.377
"HENNESSY ROAD, WAN CHAI",,815573.376,836654.399
"HENNESSY ROAD, WAN CHAI",,815527.056,836536.834
"HENNESSY ROAD, WAN CHAI",,815443.016,836236.912
"HENNESSY ROAD, WAN CHAI",,815443.302,836022.735
"HENNESSY ROAD, WAN CHAI",,815418.105,835800.392
"HENNESSY ROAD, WAN CHAI",,815402.259,835663.554
"FENWICK STREET, WAN CHAI",,815642.427,835614.408
BAGUIO VILLA GARDEN,,813785.32,831703.794
"CENTRAL PLAZA, WAN CHAI",,815677.092,835935.077
"CENTRAL PLAZA, WAN CHAI",,815676.896,835934.762
"THE LEE GARDENS, CAUSEWAY BAY",,815491.422,837041.958
"THE CENTER, CENTRAL",,816191.95,833985.938
POK FU LAM ROAD,,815203.547,831394.75
POK FU LAM ROAD,,815009.291,831444.217
POK FU LAM ROAD,,814338.159,831602.75
POK FU LAM ROAD,,814130.426,831776.131
POK FU LAM ROAD,,813985.676,831773.932
POK FU LAM ROAD,,813827.96,831898.117
POK FU LAM ROAD,,813771.948,831989.422
POK FU LAM ROAD,,813686.315,832057.841
POK FU LAM ROAD,,813543.87,832107.733
POK FU LAM ROAD,,813349.08,832119.432
POK FU LAM ROAD,,813239.599,832105.201
POK FU LAM ROAD,,812915.312,832279.661
POK FU LAM ROAD,,813011.384,832245.829
QUEEN'S ROAD WEST,,816435.584,832847.938
QUEEN'S ROAD WEST,,816360.045,831984.208
BLUE POOL ROAD,,814300.856,837423.378
BLUE POOL ROAD,,814552.178,837192.93
WONG NAI CHUNG ROAD,,814543.568,836932.376
WONG NAI CHUNG ROAD,,814631.852,836820.533
WONG NAI CHUNG ROAD,,814765.55,836607.187
WONG NAI CHUNG ROAD,,814940.352,836536.674
QUEEN'S ROAD EAST,,815084.964,836517.186
MORRISON HILL ROAD,,815267.788,836638.89
WONG NAI CHUNG ROAD,,814894.669,837021.305
LEIGHTON ROAD,,815347.242,836825.57
LEIGHTON ROAD,,815438.514,836945.315
HYSAN AVENUE,,815463.385,837058.688
YUN PING ROAD,,815515.779,837169.635
LINK ROAD,,815090.02,837117.448
CAROLINE HILL ROAD,,815336.6,837128.048
CAROLINE HILL ROAD,,815140.783,837282.543
CAROLINE HILL ROAD,,815096.907,837323.807
CAROLINE HILL ROAD,,815158.417,837469.518
CAROLINE HILL ROAD,,815232.45,837464.02
EASTERN HOSPITAL ROAD,,815029.607,837467.046
EASTERN HOSPITAL ROAD,,815353.256,837498.015
DEEP WATER BAY ROAD,,812638.66,837102.382
DEEP WATER BAY ROAD,,812477.441,837134.596
DEEP WATER BAY ROAD,,812431.524,837045.011
DEEP WATER BAY ROAD,,812278.087,837062.049
SHOUSON HILL ROAD EAST,,812204.36,836836.426
33 SHOUSON HILL ROAD,,812215.958,836750.019
SHOUSON HILL ROAD,,812276.643,836629.253
SHOUSON HILL ROAD,,812255.761,836578.389
SHOUSON HILL ROAD,,812159.315,836603.062
SHOUSON HILL ROAD,,812094.224,836607.164
45 SHOUSON HILL ROAD,,812054.741,836559.21
26 SHOUSON HILL ROAD,,812037.515,836415.478
30 SHOUSON HILL ROAD,,811929.593,836472.343
30 SHOUSON HILL ROAD,,811898.516,836488.445
"110 SHEK O VILLAGE, SHEK O",,810299.185,843935.225
SHEK O BEACH,,810031.455,844098.147
SHEK O BEACH,,809859.919,843868.541
"CHAI WAN ROAD, CHAI WAN",,814594.763,842109.807
"CHAI WAN ROAD, CHAI WAN",,814540.568,842114.502
"CHAI WAN ROAD, CHAI WAN",,814450.15,842100.86
"CHAI WAN ROAD, CHAI WAN",,814302.983,842097.392
"CHAI WAN ROAD, CHAI WAN",,814023.039,842129.732
"CHAI WAN ROAD, CHAI WAN",,813910.257,842248.443
"CHAI WAN ROAD, CHAI WAN",,813830.206,842705.966
"CHAI WAN ROAD, CHAI WAN",,813943.027,842855.724
"CHAI WAN ROAD, CHAI WAN",,814131.007,843331.457
SUN YIP STREET,,814093.472,843503.275
SIU SAI WAN ROAD,,813763.291,843755.186
SIU SAI WAN ROAD,,813736.056,843886.285
SIU SAI WAN,,813980.998,844110.012
LOK MAN ROAD,,814313.18,842353.968
"CHEUNG MAN ROAD, CHAI WAN",,814257.44,842386.913
"WAN TSUI ROAD, CHAI WAN",,813698.106,842352.067
"WAN TSUI ROAD, CHAI WAN",,813786.494,842469.897
CHAI WAN ROAD,,815196.302,841832.855
CHAI WAN ROAD,,815072.93,841838.833
CHAI WAN ROAD,,814988.769,841926.749
CHAI WAN ROAD,,814878.647,842030.609
"CHEUNG MAN ROAD, CHAI WAN",,814427.54,842345.327
CHAI WAN ROAD,,814108.318,843062.526
WING PING STREET,,814083.773,843198.918
AP LEI CHAU BRIDGE ROAD,,811648.71,834115.247
AP LEI CHAU BRIDGE ROAD,,811593.932,833989.94
AP LEI CHAU BRIDGE ROAD,,811539.803,833877.368
AP LEI CHAU BRIDGE ROAD,,811726.865,833419.338
LEE NAM ROAD,,811379.415,833320.926
LEE NAM ROAD,,811286.08,833325.043
LEE WING STREET,,811138.225,833737.927
WONG NAI CHUNG GAP ROAD,,813676.03,837578.718
WONG NAI CHUNG GAP ROAD,,813576.665,837717.327
WONG NAI CHUNG GAP ROAD,,813437.008,837834.789
DEEP WATER BAY ROAD,,813164.572,837808.652
DEEP WATER BAY ROAD,,812858.022,837445.534
"KENNEDY ROAD, WAN CHAI",,815133.519,836224.92
"KENNEDY ROAD, WAN CHAI",,814868.729,835985.53
"KENNEDY ROAD, WAN CHAI",,814884.75,835889.115
"KENNEDY ROAD, WAN CHAI",,814983.399,835826.17
"KENNEDY ROAD, WAN CHAI",,814960.592,835744.441
"KENNEDY ROAD, WAN CHAI",,815057.529,835681.363
"KENNEDY ROAD, WAN CHAI",,815091.89,835626.766
"KENNEDY ROAD, WAN CHAI",,815078.998,835492.573
KENNEDY ROAD,,815215.069,835183.045
KENNEDY ROAD,,815173.425,835145.42
"KENNEDY ROAD, WAN CHAI",,815072.71,835138.321
KENNEDY ROAD,,815248.306,834855.077
KENNEDY ROAD,,815254.083,834717.522
"KENNEDY ROAD, CENTRAL",,815280.288,834510.604
"KENNEDY ROAD, CENTRAL",,815319.815,834248.18
PEAK ROAD,,813800.818,833976.907
PEAK ROAD,,813836.363,834091.595
PEAK ROAD,,813918.005,834168.163
PEAK ROAD,,813958.18,834175.114
PEAK ROAD,,814176.417,834407.661
PEAK ROAD,,814286.425,834673.355
PEAK ROAD,,814307.217,834724.854
PEAK ROAD,,814326.128,834757.037
PEAK ROAD,,814381.731,834839.06
PEAK ROAD,,814431.374,834951.846
POLICE SCHOOL ROAD,,811890.184,835455.713
NAM LONG SHAN ROAD,,811999.009,835176.209
SOUTH BAY ROAD,,810087.908,838400.065
